season_year,team_id,team_code,team_name_en,team_name_es,country_en,country_es,distribution__passes_accuracy,distribution__passes_attempted,distribution__passes_completed,distribution__ball_possession,distribution__cross_accuracy,distribution__cross_attempted,distribution__cross_completed,distribution__free_kick,distribution__matches_appearance
1992,52748,MAR,Marseille,Marseille,France,Francia,,,,,0.0,,,,11.0
1992,50058,MIL,Milan,Milan,Italy,Italia,,,,,0.0,,,,11.0
1992,54266,CSM,CSKA Moskva,CSKA Moskva,Russia,Rusia,,,,,0.0,,,,10.0
1992,50121,RAN,Rangers,Rangers,Scotland,Escocia,,,,,0.0,,,,10.0
1992,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,,,,,0.0,,,,10.0
1992,50064,POR,Porto,Porto,Portugal,Portugal,,,,,0.0,,,,10.0
1992,50062,PSV,PSV,PSV,Netherlands,Holanda,,,,,0.0,,,,10.0
1992,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,,,,,0.0,,,,10.0
1992,53361,LEE,Leeds,Leeds,England,Inglaterra,,,,,0.0,,,,5.0
1992,50098,DB,Dinamo Bucureşti,Dinamo Bucureşti,Romania,Rumanía,,,,,0.0,,,,4.0
1992,64227,LPO,Lech Poznań,Lech Poznań,Poland,Polonia,,,,,0.0,,,,4.0
1992,52824,SIO,Sion,Sion,Switzerland,Suiza,,,,,0.0,,,,4.0
1992,52797,SLB,S. Bratislava,S. Bratislava,Slovakia,Eslovaquia,,,,,0.0,,,,4.0
1992,50129,AEK,AEK Athens,AEK Athens,Greece,Grecia,,,,,0.0,,,,4.0
1992,50110,AUS,Austria Wien,Austria Wien,Austria,Austria,,,,,0.0,,,,4.0
1992,50080,BAR,Barcelona,Barcelona,Spain,España,,,,,0.0,,,,4.0
1992,50107,STU,Stuttgart,Stuttgart,Germany,Alemania,,,,,0.0,,,,3.0
1992,50082,LAH,Lahti,Lahti,Finland,Finlandia,,,,,0.0,,,,2.0
1992,57489,TAV,Tavriya,Tavriya,Ukraine,Ucrania,,,,,0.0,,,,2.0
1992,57479,SKO,Skonto,Skonto,Latvia,Letonia,,,,,0.0,,,,2.0
1992,57477,MTA,M. Tel-Aviv,M. Tel-Aviv,Israel,Israel,,,,,0.0,,,,2.0
1992,53081,OLJ,Olimpija,Olimpija,Slovenia,Eslovenia,,,,,0.0,,,,2.0
1992,52697,VKR,Víkingur R.,Víkingur R.,Iceland,Islandia,,,,,0.0,,,,2.0
1992,52319,VFK,Viking,Viking,Norway,Noruega,,,,,0.0,,,,2.0
1992,52298,FER,Ferencváros,Ferencváros,Hungary,Hungría,,,,,0.0,,,,2.0
1992,50157,BES,Beşiktaş,Beşiktaş,Türkiye,Turquía,,,,,0.0,,,,2.0
1992,50140,USL,US Luxembourg,US Luxembourg,Luxembourg,Luxemburgo,,,,,0.0,,,,2.0
1992,50118,APO,APOEL,APOEL,Cyprus,Chipre,,,,,0.0,,,,2.0
1992,50076,CSS,CSKA Sofia,CSKA Sofia,Bulgaria,Bulgaria,,,,,0.0,,,,2.0
1992,50056,GLE,Glentoran,Glentoran,Northern Ireland,Irlanda del Norte,,,,,0.0,,,,2.0
1992,50020,LYN,Lyngby,Lyngby,Denmark,Dinamarca,,,,,0.0,,,,2.0
1992,2602334,ZAL,Žalgiris,Žalgiris,Lithuania,Lituania,,,,,0.0,,,,2.0
1993,50080,BAR,Barcelona,Barcelona,Spain,España,,,,,0.0,,,,12.0
1993,50058,MIL,Milan,Milan,Italy,Italia,,,,,0.0,,,,12.0
1993,50064,POR,Porto,Porto,Portugal,Portugal,,,,,0.0,,,,11.0
1993,50023,MON,Monaco,Monaco,France,Francia,,,,,0.0,,,,11.0
1993,50074,AND,Anderlecht,Anderlecht,Belgium,Bélgica,,,,,0.0,,,,10.0
1993,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,,,,,0.0,,,,10.0
1993,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,,,,,0.0,,,,10.0
1993,50040,BRM,Bremen,Bremen,Germany,Alemania,,,,,0.0,,,,10.0
1993,52709,CPH,Copenhagen,Copenhagen,Denmark,Dinamarca,,,,,0.0,,,,4.0
1993,64227,LPO,Lech Poznań,Lech Poznań,Poland,Polonia,,,,,0.0,,,,4.0
1993,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,,,,,0.0,,,,4.0
1993,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,,,,0.0,,,,4.0
1993,50110,AUS,Austria Wien,Austria Wien,Austria,Austria,,,,,0.0,,,,4.0
1993,50065,FCSB,FCSB,FCSB,Romania,Rumanía,,,,,0.0,,,,4.0
1993,50044,LSO,Levski Sofia,Levski Sofia,Bulgaria,Bulgaria,,,,,0.0,,,,4.0
1993,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,,,,,0.0,,,,4.0
1993,50134,LIN,Linfield,Linfield,Northern Ireland,Irlanda del Norte,,,,,0.0,,,,2.0
1993,59034,BEI,Beitar,Beitar,Israel,Israel,,,,,0.0,,,,2.0
1993,57479,SKO,Skonto,Skonto,Latvia,Letonia,,,,,0.0,,,,2.0
1993,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,,,,,0.0,,,,2.0
1993,52803,COR,Cork,Cork,Republic of Ireland,República de Irlanda,,,,,0.0,,,,2.0
1993,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,,,,,0.0,,,,2.0
1993,52341,AIK,AIK,AIK,Sweden,Suecia,,,,,0.0,,,,2.0
1993,50164,DIN,GNK Dinamo,GNK Dinamo,Croatia,Croacia,,,,,0.0,,,,2.0
1993,50161,DMI,Dinamo-Minsk,Dinamo-Minsk,Belarus,Bielorrusia,,,,,0.0,,,,2.0
1993,50135,AKR,ÍA,ÍA,Iceland,Islandia,,,,,0.0,,,,2.0
1993,50129,AEK,AEK Athens,AEK Athens,Greece,Grecia,,,,,0.0,,,,2.0
1993,50121,RAN,Rangers,Rangers,Scotland,Escocia,,,,,0.0,,,,2.0
1993,50092,FLO,Floriana,Floriana,Malta,Malta,,,,,0.0,,,,2.0
1993,50054,HON,Honvéd,Honvéd,Hungary,Hungría,,,,,0.0,,,,2.0
1993,50052,HJK,HJK,HJK,Finland,Finlandia,,,,,0.0,,,,2.0
1993,50035,AAR,Aarau,Aarau,Switzerland,Suiza,,,,,0.0,,,,2.0
1994,50143,AJX,Ajax,Ajax,Netherlands,Holanda,,,,,0.0,,,,11.0
1994,50058,MIL,Milan,Milan,Italy,Italia,,,,,0.0,,,,11.0
1994,52747,PSG,Paris,Paris,France,Francia,,,,,0.0,,,,10.0
1994,50037,BAY,Bayern München,Bayern München,Germany,Alemania,,,,,0.0,,,,10.0
1994,52359,HAJ,Hajduk Split,Hajduk Split,Croatia,Croacia,,,,,0.0,,,,8.0
1994,50147,BEN,Benfica,Benfica,Portugal,Portugal,,,,,0.0,,,,8.0
1994,50080,BAR,Barcelona,Barcelona,Spain,España,,,,,0.0,,,,8.0
1994,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,,,,,0.0,,,,8.0
1994,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,,,,,0.0,,,,6.0
1994,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,,,,0.0,,,,6.0
1994,50129,AEK,AEK Athens,AEK Athens,Greece,Grecia,,,,,0.0,,,,6.0
1994,50074,AND,Anderlecht,Anderlecht,Belgium,Bélgica,,,,,0.0,,,,6.0
1994,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,,,,,0.0,,,,6.0
1994,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,,,,,0.0,,,,6.0
1994,50065,FCSB,FCSB,FCSB,Romania,Rumanía,,,,,0.0,,,,6.0
1994,50030,SAL,Salzburg,Salzburg,Austria,Austria,,,,,0.0,,,,6.0
1995,50143,AJX,Ajax,Ajax,Netherlands,Holanda,,,,,0.0,,,,11.0
1995,50139,JUV,Juventus,Juventus,Italy,Italia,,,,,0.0,,,,11.0
1995,52693,NAN,Nantes,Nantes,France,Francia,,,,,0.0,,,,10.0
1995,50084,PAN,Panathinaikos,Panathinaikos,Greece,Grecia,,,,,0.0,,,,10.0
1995,52758,BVB,B. Dortmund,B. Dortmund,Germany,Alemania,,,,,0.0,,,,8.0
1995,50146,LEG,Legia Warszawa,Legia Warszawa,Poland,Polonia,,,,,0.0,,,,8.0
1995,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,,,,,0.0,,,,8.0
1995,50051,RMA,Real Madrid,Real Madrid,Spain,España,,,,,0.0,,,,8.0
1995,54186,AAL,AaB,AaB,Denmark,Dinamarca,,,,,0.0,,,,6.0
1995,53344,BLA,Blackburn,Blackburn,England,Inglaterra,,,,,0.0,,,,6.0
1995,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,,,,,0.0,,,,6.0
1995,52298,FER,Ferencváros,Ferencváros,Hungary,Hungría,,,,,0.0,,,,6.0
1995,50121,RAN,Rangers,Rangers,Scotland,Escocia,,,,,0.0,,,,6.0
1995,50065,FCSB,FCSB,FCSB,Romania,Rumanía,,,,,0.0,,,,6.0
1995,50064,POR,Porto,Porto,Portugal,Portugal,,,,,0.0,,,,6.0
1995,50004,GCZ,Grasshoppers,Grasshoppers,Switzerland,Suiza,,,,,0.0,,,,6.0
1996,52758,BVB,B. Dortmund,B. Dortmund,Germany,Alemania,,,,,0.0,,,,11.0
1996,50139,JUV,Juventus,Juventus,Italy,Italia,,,,,0.0,,,,11.0
1996,50143,AJX,Ajax,Ajax,Netherlands,Holanda,,,,,0.0,,,,10.0
1996,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,,,,0.0,,,,10.0
1996,50124,ATM,Atleti,Atleti,Spain,España,,,,,0.0,,,,8.0
1996,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,,,,,0.0,,,,8.0
1996,52269,AJA,Auxerre,Auxerre,France,Francia,,,,,0.0,,,,8.0
1996,50064,POR,Porto,Porto,Portugal,Portugal,,,,,0.0,,,,8.0
1996,52752,WID,Widzew,Widzew,Poland,Polonia,,,,,0.0,,,,6.0
1996,52692,FEN,Fenerbahçe,Fenerbahçe,Türkiye,Turquía,,,,,0.0,,,,6.0
1996,50121,RAN,Rangers,Rangers,Scotland,Escocia,,,,,0.0,,,,6.0
1996,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,,,,,0.0,,,,6.0
1996,50065,FCSB,FCSB,FCSB,Romania,Rumanía,,,,,0.0,,,,6.0
1996,50058,MIL,Milan,Milan,Italy,Italia,,,,,0.0,,,,6.0
1996,50042,RAP,SK Rapid,SK Rapid,Austria,Austria,,,,,0.0,,,,6.0
1996,50004,GCZ,Grasshoppers,Grasshoppers,Switzerland,Suiza,,,,,0.0,,,,6.0
1997,50139,JUV,Juventus,Juventus,Italy,Italia,,,,,0.0,,,,11.0
1997,50051,RMA,Real Madrid,Real Madrid,Spain,España,,,,,0.0,,,,11.0
1997,52758,BVB,B. Dortmund,B. Dortmund,Germany,Alemania,,,,,0.0,,,,10.0
1997,50023,MON,Monaco,Monaco,France,Francia,,,,,0.0,,,,10.0
1997,50037,BAY,Bayern München,Bayern München,Germany,Alemania,,,,,0.0,,,,8.0
1997,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,,,,,0.0,,,,8.0
1997,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,,,,0.0,,,,8.0
1997,50109,LEV,Leverkusen,Leverkusen,Germany,Alemania,,,,,0.0,,,,8.0
1997,8404,LIE,Lierse,Lierse,Belgium,Bélgica,,,,,0.0,,,,6.0
1997,59324,NEW,Newcastle,Newcastle,England,Inglaterra,,,,,0.0,,,,6.0
1997,59029,KOS,Košice,Košice,Slovakia,Eslovaquia,,,,,0.0,,,,6.0
1997,54262,PAR,Parma,Parma,Italy,Italia,,,,,0.0,,,,6.0
1997,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,,,,,0.0,,,,6.0
1997,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,,,,,0.0,,,,6.0
1997,52747,PSG,Paris,Paris,France,Francia,,,,,0.0,,,,6.0
1997,50157,BES,Beşiktaş,Beşiktaş,Türkiye,Turquía,,,,,0.0,,,,6.0
1997,50149,SPO,Sporting CP,Sporting CP,Portugal,Portugal,,,,,0.0,,,,6.0
1997,50080,BAR,Barcelona,Barcelona,Spain,España,,,,,0.0,,,,6.0
1997,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,,,,,0.0,,,,6.0
1997,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,,,,,0.0,,,,6.0
1997,50064,POR,Porto,Porto,Portugal,Portugal,,,,,0.0,,,,6.0
1997,50062,PSV,PSV,PSV,Netherlands,Holanda,,,,,0.0,,,,6.0
1997,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,,,,,0.0,,,,6.0
1997,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,,,,,0.0,,,,6.0
1998,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,,,,0.0,,,,11.0
1998,50037,BAY,Bayern München,Bayern München,Germany,Alemania,,,,,0.0,,,,11.0
1998,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,,,,,0.0,,,,10.0
1998,50139,JUV,Juventus,Juventus,Italy,Italia,,,,,0.0,,,,10.0
1998,50138,INT,Inter,Inter,Italy,Italia,,,,,0.0,,,,8.0
1998,50051,RMA,Real Madrid,Real Madrid,Spain,España,,,,,0.0,,,,8.0
1998,3695,KAI,Kaiserslautern,Kaiserslautern,Germany,Alemania,,,,,0.0,,,,8.0
1998,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,,,,,0.0,,,,8.0
1998,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,,,,,0.0,,,,6.0
1998,52280,ARS,Arsenal,Arsenal,England,Inglaterra,,,,,0.0,,,,6.0
1998,52277,LEN,Lens,Lens,France,Francia,,,,,0.0,,,,6.0
1998,50164,DIN,GNK Dinamo,GNK Dinamo,Croatia,Croacia,,,,,0.0,,,,6.0
1998,50147,BEN,Benfica,Benfica,Portugal,Portugal,,,,,0.0,,,,6.0
1998,50143,AJX,Ajax,Ajax,Netherlands,Holanda,,,,,0.0,,,,6.0
1998,50125,ATH,Athletic Club,Athletic Club,Spain,España,,,,,0.0,,,,6.0
1998,50111,SGR,Sturm Graz,Sturm Graz,Austria,Austria,,,,,0.0,,,,6.0
1998,50084,PAN,Panathinaikos,Panathinaikos,Greece,Grecia,,,,,0.0,,,,6.0
1998,50080,BAR,Barcelona,Barcelona,Spain,España,,,,,0.0,,,,6.0
1998,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,,,,,0.0,,,,6.0
1998,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,,,,,0.0,,,,6.0
1998,50064,POR,Porto,Porto,Portugal,Portugal,,,,,0.0,,,,6.0
1998,50062,PSV,PSV,PSV,Netherlands,Holanda,,,,,0.0,,,,6.0
1998,50052,HJK,HJK,HJK,Finland,Finlandia,,,,,0.0,,,,6.0
1998,50021,BRO,Brøndby,Brøndby,Denmark,Dinamarca,,,,,0.0,,,,6.0
1999,52268,VAL,Valencia,Valencia,Spain,España,,,,,0.0,,,,17.0
1999,50051,RMA,Real Madrid,Real Madrid,Spain,España,,,,,0.0,,,,17.0
1999,50080,BAR,Barcelona,Barcelona,Spain,España,,,,,0.0,,,,16.0
1999,50037,BAY,Bayern München,Bayern München,Germany,Alemania,,,,,0.0,,,,16.0
1999,52914,CHE,Chelsea,Chelsea,England,Inglaterra,,,,,0.0,,,,14.0
1999,52973,LAZ,Lazio,Lazio,Italy,Italia,,,,,0.0,,,,14.0
1999,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,,,,0.0,,,,14.0
1999,50064,POR,Porto,Porto,Portugal,Portugal,,,,,0.0,,,,14.0
1999,5451,HER,Hertha,Hertha,Germany,Alemania,,,,,0.0,,,,12.0
1999,52817,FIO,Fiorentina,Fiorentina,Italy,Italia,,,,,0.0,,,,12.0
1999,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,,,,,0.0,,,,12.0
1999,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,,,,,0.0,,,,12.0
1999,52748,MAR,Marseille,Marseille,France,Francia,,,,,0.0,,,,12.0
1999,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,,,,,0.0,,,,12.0
1999,50127,BOR,Bordeaux,Bordeaux,France,Francia,,,,,0.0,,,,12.0
1999,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,,,,,0.0,,,,12.0
1999,57490,MRB,Maribor,Maribor,Slovenia,Eslovenia,,,,,0.0,,,,6.0
1999,52987,WIL,Willem II,Willem II,Netherlands,Holanda,,,,,0.0,,,,6.0
1999,52819,BOA,Boavista,Boavista,Portugal,Portugal,,,,,0.0,,,,6.0
1999,52758,BVB,B. Dortmund,B. Dortmund,Germany,Alemania,,,,,0.0,,,,6.0
1999,52341,AIK,AIK,AIK,Sweden,Suecia,,,,,0.0,,,,6.0
1999,52280,ARS,Arsenal,Arsenal,England,Inglaterra,,,,,0.0,,,,6.0
1999,50164,DIN,GNK Dinamo,GNK Dinamo,Croatia,Croacia,,,,,0.0,,,,6.0
1999,50142,MOL,Molde,Molde,Norway,Noruega,,,,,0.0,,,,6.0
1999,50121,RAN,Rangers,Rangers,Scotland,Escocia,,,,,0.0,,,,6.0
1999,50111,SGR,Sturm Graz,Sturm Graz,Austria,Austria,,,,,0.0,,,,6.0
1999,50109,LEV,Leverkusen,Leverkusen,Germany,Alemania,,,,,0.0,,,,6.0
1999,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,,,,,0.0,,,,6.0
1999,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,,,,,0.0,,,,6.0
1999,50062,PSV,PSV,PSV,Netherlands,Holanda,,,,,0.0,,,,6.0
1999,50058,MIL,Milan,Milan,Italy,Italia,,,,,0.0,,,,6.0
1999,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,,,,,0.0,,,,6.0
2000,52268,VAL,Valencia,Valencia,Spain,España,,,,,0.0,,,,17.0
2000,50037,BAY,Bayern München,Bayern München,Germany,Alemania,,,,,0.0,,,,17.0
2000,53361,LEE,Leeds,Leeds,England,Inglaterra,,,,,0.0,,,,16.0
2000,50051,RMA,Real Madrid,Real Madrid,Spain,España,,,,,0.0,,,,16.0
2000,59044,DEP,Deportivo,Deportivo,Spain,España,,,,,0.0,,,,14.0
2000,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,,,,0.0,,,,14.0
2000,52280,ARS,Arsenal,Arsenal,England,Inglaterra,,,,,0.0,,,,14.0
2000,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,,,,,0.0,,,,14.0
2000,5312,LYO,Lyon,Lyon,France,Francia,,,,,0.0,,,,12.0
2000,52973,LAZ,Lazio,Lazio,Italy,Italia,,,,,0.0,,,,12.0
2000,52747,PSG,Paris,Paris,France,Francia,,,,,0.0,,,,12.0
2000,50111,SGR,Sturm Graz,Sturm Graz,Austria,Austria,,,,,0.0,,,,12.0
2000,50084,PAN,Panathinaikos,Panathinaikos,Greece,Grecia,,,,,0.0,,,,12.0
2000,50074,AND,Anderlecht,Anderlecht,Belgium,Bélgica,,,,,0.0,,,,12.0
2000,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,,,,,0.0,,,,12.0
2000,50058,MIL,Milan,Milan,Italy,Italia,,,,,0.0,,,,12.0
2000,60401,HEL,Helsingborg,Helsingborg,Sweden,Suecia,,,,,0.0,,,,6.0
2000,59862,HVN,Heerenveen,Heerenveen,Netherlands,Holanda,,,,,0.0,,,,6.0
2000,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,,,,,0.0,,,,6.0
2000,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,,,,,0.0,,,,6.0
2000,52707,SHK,Shakhtar,Shakhtar,Ukraine,Ucrania,,,,,0.0,,,,6.0
2000,52167,HSV,Hamburg,Hamburg,Germany,Alemania,,,,,0.0,,,,6.0
2000,50157,BES,Beşiktaş,Beşiktaş,Türkiye,Turquía,,,,,0.0,,,,6.0
2000,50149,SPO,Sporting CP,Sporting CP,Portugal,Portugal,,,,,0.0,,,,6.0
2000,50139,JUV,Juventus,Juventus,Italy,Italia,,,,,0.0,,,,6.0
2000,50121,RAN,Rangers,Rangers,Scotland,Escocia,,,,,0.0,,,,6.0
2000,50109,LEV,Leverkusen,Leverkusen,Germany,Alemania,,,,,0.0,,,,6.0
2000,50080,BAR,Barcelona,Barcelona,Spain,España,,,,,0.0,,,,6.0
2000,50062,PSV,PSV,PSV,Netherlands,Holanda,,,,,0.0,,,,6.0
2000,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,,,,,0.0,,,,6.0
2000,50023,MON,Monaco,Monaco,France,Francia,,,,,0.0,,,,6.0
2000,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,,,,,0.0,,,,6.0
2001,50109,LEV,Leverkusen,Leverkusen,Germany,Alemania,,,,,0.0,,,,17.0
2001,50051,RMA,Real Madrid,Real Madrid,Spain,España,,,,,0.0,,,,17.0
2001,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,,,,0.0,,,,16.0
2001,50080,BAR,Barcelona,Barcelona,Spain,España,,,,,0.0,,,,16.0
2001,7889,LIV,Liverpool,Liverpool,England,Inglaterra,,,,,0.0,,,,14.0
2001,59044,DEP,Deportivo,Deportivo,Spain,España,,,,,0.0,,,,14.0
2001,50084,PAN,Panathinaikos,Panathinaikos,Greece,Grecia,,,,,0.0,,,,14.0
2001,50037,BAY,Bayern München,Bayern München,Germany,Alemania,,,,,0.0,,,,14.0
2001,52819,BOA,Boavista,Boavista,Portugal,Portugal,,,,,0.0,,,,12.0
2001,52693,NAN,Nantes,Nantes,France,Francia,,,,,0.0,,,,12.0
2001,52280,ARS,Arsenal,Arsenal,England,Inglaterra,,,,,0.0,,,,12.0
2001,50139,JUV,Juventus,Juventus,Italy,Italia,,,,,0.0,,,,12.0
2001,50137,ROM,Roma,Roma,Italy,Italia,,,,,0.0,,,,12.0
2001,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,,,,,0.0,,,,12.0
2001,50064,POR,Porto,Porto,Portugal,Portugal,,,,,0.0,,,,12.0
2001,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,,,,,0.0,,,,12.0
